[  829.326141] tgid, 1870, delta_vrun, 574, delta_rrun, 5361, prio, 110
[  829.370804] tgid, 1870, delta_vrun, 647, delta_rrun, 6035, prio, 110
[  829.456041] tgid, 1870, delta_vrun, 18686, delta_rrun, 174235, prio, 110
[  829.519317] tgid, 1870, delta_vrun, 279, delta_rrun, 2610, prio, 110
[  829.617787] tgid, 1870, delta_vrun, 201, delta_rrun, 1877, prio, 110
[  829.865552] tgid, 1870, delta_vrun, 11997, delta_rrun, 111868, prio, 110
[  829.983332] tgid, 1870, delta_vrun, 54153, delta_rrun, 504942, prio, 110
[  830.008722] tgid, 1870, delta_vrun, 6275, delta_rrun, 58513, prio, 110
[  830.158174] tgid, 1870, delta_vrun, 287, delta_rrun, 2677, prio, 110
[  830.171867] tgid, 1870, delta_vrun, 33068, delta_rrun, 308338, prio, 110
[  830.337441] tgid, 1870, delta_vrun, 11470, delta_rrun, 106950, prio, 110
[  830.516278] tgid, 1870, delta_vrun, 16959, delta_rrun, 158135, prio, 110
[  830.612308] tgid, 1870, delta_vrun, 18543, delta_rrun, 172904, prio, 110
[  830.632397] tgid, 1870, delta_vrun, 16784, delta_rrun, 156507, prio, 110
[  830.702861] tgid, 1870, delta_vrun, 6234, delta_rrun, 58133, prio, 110
[  830.724637] tgid, 1870, delta_vrun, 24595, delta_rrun, 229333, prio, 110
[  831.053784] tgid, 1870, delta_vrun, 16725, delta_rrun, 155952, prio, 110
[  831.207288] tgid, 1870, delta_vrun, 977, delta_rrun, 9118, prio, 110
[  831.464679] tgid, 1870, delta_vrun, 40403, delta_rrun, 376729, prio, 110
[  831.900585] tgid, 1870, delta_vrun, 645, delta_rrun, 6017, prio, 110
[  832.070106] tgid, 1870, delta_vrun, 5961, delta_rrun, 55584, prio, 110
[  832.073558] tgid, 1870, delta_vrun, 26104, delta_rrun, 243404, prio, 110
[  832.154886] tgid, 1870, delta_vrun, 280, delta_rrun, 2617, prio, 110
