[  371.591885] tgid, 1870, delta_vrun, 8511422, delta_rrun, 914313, prio, 130
[  371.819008] tgid, 1870, delta_vrun, 2767918, delta_rrun, 297335, prio, 130
[  371.855944] tgid, 1870, delta_vrun, 5056660, delta_rrun, 543196, prio, 130
[  371.870385] tgid, 1870, delta_vrun, 5776141, delta_rrun, 620484, prio, 130
[  371.934497] tgid, 1870, delta_vrun, 1979778, delta_rrun, 1979778, prio, 120
[  372.122333] tgid, 1870, delta_vrun, 1879188, delta_rrun, 201866, prio, 130
[  372.219937] tgid, 1870, delta_vrun, 12358339, delta_rrun, 1327556, prio, 130
[  372.646511] tgid, 1870, delta_vrun, 3279, delta_rrun, 3279, prio, 120
[  372.651788] tgid, 1870, delta_vrun, 4492, delta_rrun, 4492, prio, 120
[  372.962811] tgid, 1870, delta_vrun, 42475, delta_rrun, 42475, prio, 120
[  373.243793] tgid, 1870, delta_vrun, 114651, delta_rrun, 114651, prio, 120
[  373.391386] tgid, 1870, delta_vrun, 106603, delta_rrun, 106603, prio, 120
[  374.337934] tgid, 1870, delta_vrun, 834479, delta_rrun, 834479, prio, 120
[  374.723592] tgid, 1870, delta_vrun, 5479, delta_rrun, 5479, prio, 120
[  375.753694] tgid, 1870, delta_vrun, 8245, delta_rrun, 8245, prio, 120
[  375.782225] tgid, 1870, delta_vrun, 112280, delta_rrun, 112280, prio, 120
[  375.902407] tgid, 1870, delta_vrun, 2383, delta_rrun, 2383, prio, 120
[  376.140686] tgid, 1870, delta_vrun, 457075, delta_rrun, 457075, prio, 120
[  376.398448] tgid, 1870, delta_vrun, 5468, delta_rrun, 5468, prio, 120
[  376.448190] tgid, 1870, delta_vrun, 82175, delta_rrun, 82175, prio, 120
[  376.480364] tgid, 1870, delta_vrun, 572129, delta_rrun, 572129, prio, 120
[  376.510124] tgid, 1870, delta_vrun, 299229, delta_rrun, 299229, prio, 120
[  376.531832] tgid, 1870, delta_vrun, 394790, delta_rrun, 394790, prio, 120
